,国际分类--ipc4,histogram
0,A01G,3
1,A41D,10
2,A42B,17
3,A43B,5
4,A44B,1
5,A45C,9
6,A45D,1
7,A45F,1
8,A47B,18
9,A47C,52
10,A47F,11
11,A47G,2
12,A61B,126
13,A61C,2
14,A61F,4
15,A61G,3
16,A61H,50
17,A61K,1
18,A61L,4
19,A61M,39
20,A61N,9
21,A62C,2
22,A63B,212
23,A63F,377
24,A63G,25
25,A63H,3
26,A63J,21
27,A99Z,1
28,B01D,1
29,B01L,1
30,B05B,1
31,B06B,2
32,B08B,6
33,B23K,4
34,B24B,1
35,B25J,41
36,B29C,1
37,B32B,1
38,B44D,1
39,B60K,4
40,B60N,3
41,B60R,4
42,B60W,3
43,B61L,1
44,B62B,1
45,B62D,1
46,B63B,1
47,B63C,7
48,B64C,2
49,B64D,2
50,B64F,1
51,B64G,1
52,B65D,9
53,B65G,2
54,B65H,1
55,B66C,2
56,B66D,1
57,B66F,1
58,C08L,1
59,C09D,4
60,C12C,1
61,E01D,2
62,E02B,1
63,E02F,1
64,E03F,1
65,E04G,1
66,E04H,12
67,E21C,3
68,E21F,1
69,F03D,1
70,F15B,1
71,F16B,2
72,F16C,5
73,F16F,4
74,F16H,2
75,F16J,1
76,F16L,3
77,F16M,69
78,F16P,2
79,F21K,1
80,F21S,3
81,F21V,2
82,F24C,1
83,F24F,3
84,F25D,1
85,F41A,11
86,F41B,1
87,G01B,7
88,G01C,57
89,G01D,10
90,G01J,1
91,G01M,29
92,G01N,2
93,G01P,1
94,G01R,5
95,G01S,23
96,G01V,2
97,G02B,1485
98,G02C,6
99,G02F,16
100,G03B,55
101,G03F,1
102,G03H,1
103,G04F,3
104,G05B,78
105,G05D,26
106,G05G,1
107,G06F,2201
108,G06G,1
109,G06K,75
110,G06Q,178
111,G06T,479
112,G06V,3
113,G07C,7
114,G07F,8
115,G08B,14
116,G08C,1
117,G08G,4
118,G09B,772
119,G09F,48
120,G09G,31
121,G10H,5
122,G10L,15
123,G11B,2
124,G11C,1
125,G16B,2
126,G16C,1
127,G16H,88
128,G16Z,2
129,G21C,1
130,H01B,9
131,H01H,2
132,H01L,4
133,H01Q,4
134,H01R,18
135,H02B,1
136,H02G,3
137,H02H,1
138,H02J,20
139,H02K,3
140,H02M,1
141,H04B,9
142,H04H,1
143,H04L,100
144,H04M,31
145,H04N,497
146,H04Q,1
147,H04R,35
148,H04S,13
149,H04W,20
150,H05B,3
151,H05K,24
